"","Id","state","county","communityname","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","RentLowQ","RentMedian","RentHighQ","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","FTPolicePerPop","FTPoliceFieldPerPop","RacialMatchCommPol","PctPolicWhite","PctPolicBlack","PctPolicHisp","PctPolicAsian","PctPolicMinor","OfficAssgnDrugUnits","PolicAveOTWorked","LandArea","PopDens","PctUsePubTrans","PolicCars","PolicOperBudg","PctPolicOnPatr","GangUnitDeploy","PolicBudgPerPop"
"168",168,"34","15","Glassboroborough",0.01,0.68,0.36,0.68,0.09,0.05,0.81,0.82,0.79,0.33,0.02,1,0.37,0.58,0,0.37,0.47,0.36,0.62,0.38,0.26,0.28,0.21,0.65,0.18,0.3,0.31,0.02,0.37,0.29,0.41,0.34,0.53,0.45,0.35,0.56,0.37,0.42,0.35,0.76,0.35,0.36,0.54,0.52,0.49,0.67,0.4,0.36,0.48,0.01,0.5,0,0.25,0.52,0.47,0.43,0.07,0.13,0.1,0.09,0.89,0.06,0.33,0.32,0.53,0.6,0.43,0.54,0.13,0.44,0.5,0.02,0.69,0.5,0.18,0.27,0.48,0.21,0.22,0.23,0.21,0.21,0.28,0.37,0.38,0.35,0.49,0.47,0.51,0,0,0.11,0.57,0.44,0.4,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.14,0.14,NA,NA,NA,NA,NA
"169",169,"34","27","LincolnParkborough",0,0.54,0.02,0.92,0.22,0.06,0.24,0.43,0.2,0.37,0.02,1,0.69,0.88,0.23,0.63,0.3,0.1,0.34,0.66,0.55,0.53,0.64,1,0.47,0.36,0.78,0,0.03,0.31,0.28,0.48,0.19,0.66,0.39,0.27,0.21,0.57,0.36,0.4,0.38,0.39,0.49,0.77,0.8,0.92,0.76,0.12,0.26,0,0.14,0.01,0.24,0.34,0.43,0.41,0.2,0.25,0.29,0.26,0.71,0.12,0.21,0.21,0.5,0.56,0.28,0.77,0.06,0.5,0.5,0.01,0.87,0.71,0.15,0.47,0.56,0.02,0,0.49,0.46,0.44,0.83,0.74,0.88,0.79,0.51,0.68,0.39,0,0,0.36,0.6,0.56,0.4,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.14,0.3,NA,NA,NA,NA,NA
"170",170,"25","9","Peabodycity",0.06,0.45,0.02,0.96,0.06,0.05,0.32,0.43,0.27,0.46,0.07,1,0.46,0.57,0.09,0.49,0.51,0.26,0.53,0.46,0.41,0.4,0.26,0.34,0.32,0.32,0.33,0.02,0.11,0.31,0.35,0.33,0.31,0.58,0.47,0.36,0.37,0.43,0.32,0.43,0.33,0.33,0.49,0.76,0.76,0.86,0.74,0.6,0.63,0.02,0.19,0.04,0.22,0.27,0.28,0.29,0.18,0.19,0.18,0.17,0.71,0.23,0.17,0.18,0.49,0.57,0.28,0.71,0.06,0.47,0.5,0.03,0.87,0.65,0.08,0.52,0.42,0.07,0.1,0.5,0.45,0.41,0.31,0.49,0.59,0.51,0.49,0.49,0.58,0.05,0,0.34,0.82,0.78,0.86,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.24,0.09,NA,NA,NA,NA,NA
"171",171,"54",NA,"Weirtoncity",0.02,0.32,0.08,0.93,0.02,0.01,0.33,0.33,0.2,0.68,0.03,1,0.27,0.32,0.14,0.59,0.73,0.29,0.86,0.3,0.3,0.28,0.27,0.13,1,0,0.55,0.02,0.24,0.43,0.45,0.17,0.42,0.22,0.85,0.35,0.68,0.25,0.4,0.28,0.37,0.4,0.33,0.66,0.69,0.68,0.8,0.33,0.25,0.01,0.09,0,0.03,0.03,0.04,0.03,0.01,0.01,0.01,0.01,0.85,0.06,0.08,0.09,0.34,0.38,0.26,0.71,0.04,0.41,0.5,0.03,0.81,0.68,0.18,0.69,0.33,0.19,0.03,0.07,0.07,0.07,0.12,0.14,0.13,0.18,0.2,0.01,0.24,0,0,0.1,0.5,0.86,0.84,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.1,0.05,NA,NA,NA,NA,NA
"172",172,"18",NA,"Noblesvillecity",0.01,0.44,0.02,0.98,0.04,0.01,0.39,0.48,0.26,0.3,0,0,0.41,0.69,0.5,0.52,0.34,0.17,0.33,0.46,0.42,0.4,0.44,0.08,0.48,1,0.64,0.01,0.19,0.23,0.31,0.47,0.12,0.68,0.44,0.33,0.3,0.49,0.5,0.25,0.53,0.53,0.47,0.74,0.78,0.75,0.75,0.68,0.61,0,0.12,0,0.81,0.65,0.53,0.51,0.08,0.05,0.04,0.04,0.98,0.04,0.11,0.12,0.47,0.58,0.29,0.63,0.05,0.47,0.5,0.02,0.74,0.57,0.02,0.31,0.75,0.3,0.18,0.15,0.21,0.25,0.28,0.33,0.34,0.35,0.37,0.37,0.35,0.01,0,0.04,0.68,0.37,0.37,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.17,0,NA,NA,NA,NA,NA
"173",173,"6",NA,"Vallejocity",0.16,0.58,0.41,0.24,1,0.2,0.43,0.5,0.33,0.34,0.17,1,0.41,0.59,0.19,0.37,0.38,0.52,0.71,0.4,0.31,0.37,0.32,0.2,0.29,0.33,0.39,0.08,0.21,0.23,0.32,0.3,0.41,0.52,0.29,0.4,0.33,0.35,0.56,0.45,0.59,0.59,0.63,0.57,0.56,0.62,0.54,0.56,0.58,0.06,0.28,0.13,0.29,0.35,0.45,0.49,0.37,0.39,0.46,0.45,0.57,0.16,0.5,0.47,0.6,0.62,0.56,0.54,0.42,0.51,0.5,0.13,0.76,0.54,0.15,0.31,0.54,0.18,0.13,0.32,0.34,0.36,0.43,0.47,0.55,0.48,0.59,0.72,0.28,0.03,0.02,0.54,0.44,0.39,0.39,0.62,0.09,0.13,0.62,0.48,0.39,0.28,1,0.55,0.05,0.76,0.09,0.3,0.21,0.06,0.03,0.86,0.5,0.14
"174",174,"46","35","Mitchellcity",0.01,0.32,0,0.97,0.02,0,0.42,0.45,0.32,0.58,0,0,0.14,0.42,0.97,0.55,0.7,0.36,0.31,0.2,0.17,0.17,0.01,0.08,0.16,0.26,0.25,0.02,0.38,0.49,0.42,0.23,0.26,0.52,0.36,0.56,0.46,0.34,0.34,0.4,0.32,0.34,0.45,0.69,0.74,0.64,0.71,0.9,0.89,0,0.1,0,0.13,0.09,0.08,0.07,0.01,0.01,0,0,0.95,0.02,0.22,0.17,0.31,0.46,0.16,0.55,0.08,0.59,0,0.02,0.76,0.46,0.08,0.64,0.46,0.42,0.32,0.04,0.04,0.04,0.09,0.12,0.13,0.1,0.43,0.26,0.47,0,0,0.02,0.82,0.59,0.61,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.12,0.01,NA,NA,NA,NA,NA
"175",175,"6",NA,"SanRafaelcity",0.06,0.3,0.06,0.75,0.34,0.27,0.26,0.42,0.27,0.44,0.08,1,0.5,0.55,0.32,0.65,0.42,0.24,0.49,0.59,0.66,0.71,0.41,0.26,0.39,0.22,0.33,0.03,0.2,0.2,0.17,0.62,0.27,0.58,0.16,0.48,0.2,0.64,0.61,0.57,0.71,0.69,0.3,0.56,0.6,0.7,0.54,0.57,0.56,0.02,0.26,0.07,0.57,0.63,0.66,0.66,0.86,0.83,0.79,0.73,0.59,0.5,0.23,0.19,0.29,0.3,0.34,0.43,0.27,0.6,0,0.04,0.86,0.44,0.06,0.17,0.5,0.08,0.18,0.9,0.95,0.97,0.71,0.69,0.84,0.67,0.81,0.63,0.26,0.1,0.04,0.64,0.42,0.43,0.52,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.24,0.68,NA,NA,NA,NA,NA
"176",176,"18",NA,"MichiganCitycity",0.04,0.46,0.44,0.63,0.04,0.03,0.41,0.49,0.31,0.45,0,0,0.19,0.51,0.09,0.36,0.59,0.33,0.47,0.21,0.19,0.22,0.18,0.13,0.18,0.25,0.32,0.05,0.43,0.33,0.54,0.13,0.51,0.37,0.77,0.29,0.74,0.23,0.82,0.5,0.68,0.77,0.49,0.38,0.39,0.44,0.33,0.65,0.69,0.04,0.52,0,0.07,0.1,0.2,0.23,0.01,0.01,0.02,0.02,0.91,0.05,0.34,0.29,0.41,0.45,0.38,0.53,0.14,0.56,0,0.07,0.58,0.51,0.59,0.5,0.31,0.49,0.19,0.06,0.05,0.05,0.16,0.18,0.2,0.21,0.47,0.25,0.6,0,0,0.05,0.69,0.64,0.82,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.14,0.1,NA,NA,NA,NA,NA
"177",177,"1",NA,"Fairfieldcity",0,0.45,1,0,0.01,0,0.43,0.41,0.27,0.57,0.02,1,0.16,0.38,0.1,0.16,0.71,0.44,0.61,0.19,0.16,0.23,0.23,0.27,0.69,0,0.16,0.02,0.54,0.39,0.5,0.26,0.56,0.33,0.27,0.66,0.45,0.35,0.58,0.42,0.66,0.66,0.52,0.3,0.31,0.38,0.24,0.81,0.83,0.01,0.39,0,0,0.24,0.2,0.63,0,0.01,0.01,0.02,0.95,0.02,0.33,0.31,0.45,0.47,0.44,0.56,0.14,0.5,0.5,0.02,0.66,0.55,0.67,0.44,0.38,0.3,0.23,0.07,0.07,0.08,0.03,0.11,0.13,0.15,0.49,0.39,0.49,0,0.01,0.01,0.93,0.69,0.88,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.3,0.15,NA,NA,NA,NA,NA
"178",178,"47",NA,"Shelbyvillecity",0.01,0.34,0.33,0.72,0.05,0.01,0.4,0.47,0.31,0.57,0,0,0.14,0.39,0.36,0.24,0.58,0.55,0.28,0.17,0.18,0.19,0.18,0.06,0.4,0.16,0.12,0.02,0.52,0.86,0.79,0.14,0.38,0.42,0.93,0.15,0.91,0.18,0.7,0.32,0.63,0.68,0.36,0.42,0.44,0.43,0.52,0.72,0.68,0.01,0.41,0,0.38,0.89,1,1,0.03,0.07,0.08,0.07,0.97,0.06,0.14,0.13,0.35,0.33,0.41,0.49,0.13,0.59,0,0.02,0.69,0.51,0.11,0.52,0.54,0.77,0.22,0.07,0.06,0.06,0.06,0.13,0.17,0.14,0.42,0.37,0.57,0,0,0.03,0.86,0.53,0.75,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.08,0,NA,NA,NA,NA,NA
"179",179,"39",NA,"Wadsworthcity",0.01,0.41,0.01,0.99,0.03,0,0.36,0.39,0.22,0.48,0.02,1,0.34,0.54,0.16,0.58,0.55,0.25,0.61,0.36,0.33,0.31,0.36,0.59,0.39,0,0.25,0.01,0.19,0.22,0.34,0.36,0.34,0.46,0.64,0.43,0.51,0.43,0.36,0.24,0.38,0.39,0.44,0.76,0.79,0.84,0.83,0.3,0.35,0,0.05,0,0.1,0.28,0.34,0.47,0.01,0.04,0.04,0.05,0.95,0.01,0.13,0.14,0.44,0.5,0.29,0.71,0.03,0.36,0.5,0.01,0.91,0.66,0.08,0.29,0.42,0.13,0,0.13,0.13,0.14,0.23,0.23,0.24,0.25,0.38,0.19,0.26,0,0,0.06,0.77,0.58,0.64,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.16,0.02,NA,NA,NA,NA,NA
"180",180,"34","31","LittleFallstownship",0,0.44,0.03,0.93,0.12,0.07,0.51,0.58,0.53,0.56,0.02,1,0.55,0.6,0.24,0.78,0.6,0.1,0.53,0.58,0.55,0.55,0.1,0,0.3,0.48,0.53,0,0.06,0.21,0.29,0.44,0.21,0.58,0.31,0.44,0.22,0.56,0.33,0.57,0.29,0.32,0.41,0.8,0.82,0.92,0.85,0.43,0.51,0,0.01,0.01,0.12,0.2,0.27,0.29,0.07,0.11,0.14,0.14,0.77,0.1,0.18,0.17,0.36,0.46,0.17,0.71,0.05,0.49,0.5,0.01,0.82,0.63,0.07,0.38,0.35,0.03,0,0.51,0.51,0.51,0.54,0.6,0.76,0.62,0.4,0.5,0.72,0,0.02,0.27,0.71,0.7,0.58,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.34,0.34,NA,NA,NA,NA,NA
"181",181,"48",NA,"Rockwallcity",0,0.46,0.07,0.91,0.04,0.08,0.4,0.42,0.25,0.28,0.02,1,0.54,0.74,0.53,0.58,0.29,0.07,0.38,0.55,0.53,0.54,0.15,0.24,0.04,0.25,0.33,0.01,0.19,0.2,0.22,0.6,0.25,0.62,0.36,0.43,0.14,0.72,0.39,0.23,0.4,0.41,0.44,0.8,0.8,0.86,0.81,0.35,0.4,0,0.06,0,0.03,0.2,0.37,0.51,0.01,0.03,0.06,0.07,0.91,0.06,0.15,0.16,0.48,0.5,0.43,0.64,0.14,0.38,0.5,0.02,0.55,0.63,0.1,0.6,0.85,0.27,0.09,0.23,0.28,0.29,0.36,0.39,0.5,0.43,0.38,0.6,0.33,0,0,0.08,0.56,0.33,0.19,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.06,0.03,NA,NA,NA,NA,NA
"182",182,"9","1","Bridgeporttown",0.21,0.47,0.52,0.37,0.14,0.49,0.42,0.56,0.36,0.43,0.22,1,0.28,0.46,0.14,0.35,0.51,0.65,0.5,0.28,0.27,0.34,0.28,0.16,0.26,0.25,0.3,0.21,0.45,0.62,0.69,0.18,0.72,0.41,0.59,0.39,0.6,0.25,0.56,0.69,0.59,0.6,0.6,0.21,0.2,0.22,0.21,0.47,0.45,0.29,0.97,0.14,0.35,0.43,0.49,0.53,0.36,0.39,0.4,0.4,0.37,0.49,0.46,0.38,0.47,0.47,0.51,0.27,0.31,0.74,0,0.26,0.65,0.3,1,0.58,0.19,0.52,0.41,0.37,0.36,0.32,0.4,0.45,0.5,0.5,0.72,0.77,0.94,0.12,0.03,0.43,0.51,0.51,0.81,0.66,0.28,0.19,0.75,0.52,0.37,0.4,0,0.53,0.09,0.01,0.04,0.74,0.36,0.1,0.06,0,0,0.21
"183",183,"25","27","Westboroughtown",0.01,0.42,0.03,0.92,0.18,0.03,0.32,0.44,0.25,0.39,0.02,0.79,0.53,0.71,0.14,0.64,0.38,0.1,0.42,0.6,0.54,0.53,0.55,0.39,0.4,0.37,0.53,0,0.08,0.13,0.14,0.65,0.24,0.64,0.55,0.41,0.21,0.71,0.39,0.46,0.36,0.38,0.47,0.86,0.85,0.9,0.74,0.47,0.64,0,0.08,0.01,0.22,0.47,0.57,0.58,0.12,0.22,0.24,0.22,0.83,0.1,0.15,0.14,0.4,0.55,0.19,0.63,0.05,0.5,0.5,0.02,0.75,0.54,0.02,0.33,0.6,0.02,0.11,0.51,0.51,0.52,0.65,0.69,0.83,0.67,0.47,0.54,0.56,0,0,0.22,0.65,0.58,0.56,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,0.04,NA,NA,NA,NA,NA
"184",184,"6",NA,"Pomonacity",0.2,0.94,0.28,0.34,0.41,0.95,0.51,0.64,0.43,0.19,0.21,1,0.34,0.67,0.18,0.25,0.29,0.63,0.29,0.31,0.19,0.23,0.27,0.2,0.25,0.22,0.25,0.22,0.49,0.75,0.71,0.2,0.6,0.47,0.61,0.26,0.73,0.27,0.44,0.65,0.54,0.51,1,0.57,0.49,0.61,0.53,0.31,0.22,0.15,0.58,0.28,0.49,0.56,0.61,0.67,1,1,1,1,0.13,1,1,1,0.98,0.9,1,0.44,1,0.62,0,0.11,0.8,0.48,0.32,0.21,0.5,0.34,0.25,0.33,0.32,0.33,0.5,0.49,0.57,0.49,0.82,0.8,0.21,0.12,0.01,0.94,0.43,0.34,0.67,0.66,0.1,0.12,0.37,0.78,0.09,0.23,0.32,0.23,0.03,0.27,0.06,0.48,0.18,0.07,0.06,0.73,0.5,0.17
"185",185,"24",NA,"Cumberlandcity",0.02,0.26,0.09,0.93,0.03,0.01,0.35,0.36,0.26,0.74,0.04,1,0.08,0.1,0.07,0.36,0.84,0.73,0.66,0.12,0.2,0.19,0.17,0.29,0.66,0.03,0.83,0.05,0.7,0.48,0.56,0.16,0.72,0.12,0.21,0.62,0.47,0.32,0.63,0.36,0.63,0.66,0.33,0.35,0.4,0.19,0.32,0.34,0.28,0.02,0.26,0,0.16,0.12,0.12,0.17,0.01,0.01,0.01,0.01,0.97,0.02,0.14,0.12,0.26,0.29,0.27,0.46,0.03,0.49,0.5,0.06,0.58,0.45,0.32,0.85,0,0.37,0.18,0.04,0.04,0.05,0.08,0.11,0.12,0.1,0.59,0.27,0.47,0.02,0,0.03,0.76,0.62,0.84,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.24,0.08,NA,NA,NA,NA,NA
"186",186,"34","3","SaddleBrooktownship",0.01,0.47,0.02,0.94,0.16,0.06,0.26,0.41,0.22,0.58,0.02,1,0.57,0.67,0.27,0.7,0.56,0.22,0.59,0.55,0.48,0.45,0.5,0.27,0.64,0.32,0.58,0,0.09,0.28,0.39,0.3,0.33,0.53,0.37,0.29,0.3,0.41,0.23,0.4,0.23,0.24,0.49,0.83,0.82,0.91,0.85,0.21,0.38,0,0.04,0.01,0.2,0.25,0.27,0.28,0.14,0.16,0.15,0.15,0.72,0.07,0.24,0.24,0.51,0.57,0.3,0.76,0.06,0.39,0.5,0.01,0.92,0.71,0.33,0.39,0.31,0,0.16,0.56,0.5,0.46,0.76,0.69,0.77,0.68,0.4,0.54,0.57,0,0,0.3,0.66,0.8,0.8,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.41,0.25,NA,NA,NA,NA,NA
"187",187,"34","29","Barnegattownship",0,0.59,0.03,0.96,0.05,0.04,0.44,0.42,0.22,0.46,0,0,0.41,0.53,0.13,0.48,0.51,0.1,0.65,0.39,0.27,0.26,0.31,0.24,0.49,0.36,0.43,0.01,0.13,0.2,0.35,0.18,0.32,0.42,0.12,0.39,0.3,0.33,0.26,0.26,0.32,0.3,0.6,0.8,0.81,0.88,0.73,0.4,0.52,0,0.15,0,0.2,0.19,0.22,0.22,0.08,0.06,0.07,0.06,0.9,0.03,0.32,0.34,0.63,0.59,0.73,0.87,0.04,0.31,0.5,0.04,0.35,0.89,0.11,0.58,0.79,0.09,0.2,0.3,0.27,0.25,0.71,0.65,0.67,0.81,0.61,0.84,1,0,0,0.16,0.7,0.52,0.56,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.03,0.17,NA,NA,NA,NA,NA
"188",188,"29",NA,"KansasCitycity",0.68,0.33,0.58,0.49,0.07,0.07,0.36,0.49,0.29,0.4,0.69,1,0.25,0.55,0.3,0.4,0.45,0.37,0.42,0.28,0.3,0.37,0.22,0.18,0.26,0.27,0.32,0.6,0.4,0.24,0.36,0.35,0.46,0.52,0.29,0.43,0.39,0.41,0.74,0.51,0.72,0.76,0.46,0.36,0.36,0.42,0.37,0.63,0.67,0.55,0.6,0.08,0.34,0.34,0.39,0.44,0.07,0.06,0.06,0.06,0.9,0.06,0.3,0.23,0.34,0.43,0.27,0.51,0.14,0.58,0,1,0.5,0.47,0.57,0.45,0.35,0.29,0.29,0.08,0.09,0.1,0.2,0.25,0.28,0.26,0.41,0.27,0.36,0.35,0.22,0.08,0.59,0.55,0.69,0.65,0.25,0.3,0.61,0.75,0.33,0.06,0.03,0.27,0.16,0.19,0.91,0.12,0.32,0.49,0.34,0.79,1,0.32
"189",189,"42","133","Hanoverborough",0.01,0.24,0,0.99,0.01,0.01,0.27,0.41,0.27,0.71,0,0,0.22,0.4,0.13,0.58,0.67,0.25,0.44,0.28,0.3,0.29,0.04,0,0.15,0.24,0.28,0.01,0.21,0.61,0.6,0.17,0.16,0.48,0.88,0.21,0.86,0.23,0.53,0.29,0.46,0.51,0.28,0.63,0.67,0.66,0.6,0.52,0.58,0,0.11,0,0.27,0.31,0.3,0.25,0.02,0.02,0.02,0.01,0.96,0.01,0.08,0.07,0.24,0.31,0.22,0.48,0.04,0.48,0.5,0.01,0.83,0.45,0.12,0.46,0.06,0.3,0.43,0.14,0.14,0.14,0.2,0.22,0.23,0.23,0.33,0.39,0.39,0,0,0.03,0.85,0.64,0.71,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.33,0.03,NA,NA,NA,NA,NA
"190",190,"29",NA,"Hannibalcity",0.01,0.38,0.12,0.89,0.03,0.01,0.4,0.41,0.26,0.59,0,0,0.14,0.32,0.37,0.41,0.7,0.54,0.55,0.17,0.17,0.16,0.16,0.11,0.28,0.07,0.26,0.03,0.51,0.44,0.55,0.21,0.63,0.33,0.56,0.45,0.62,0.31,0.54,0.28,0.49,0.53,0.45,0.62,0.62,0.64,0.7,0.6,0.55,0.01,0.2,0,0.88,0.65,0.53,0.45,0.05,0.03,0.02,0.02,0.97,0.02,0.22,0.2,0.37,0.4,0.32,0.63,0.11,0.61,0,0.04,0.58,0.61,0.34,0.8,0.25,0.42,0.56,0.01,0.02,0.04,0.05,0.08,0.08,0.07,0.31,0,0.28,0,0,0.02,0.78,0.56,0.7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.13,0.03,NA,NA,NA,NA,NA
"191",191,"55","9","GreenBaycity",0.14,0.36,0.01,0.92,0.14,0.02,0.4,0.54,0.34,0.39,0.15,1,0.25,0.54,0.17,0.59,0.47,0.4,0.35,0.29,0.27,0.27,0.29,0.09,0.08,0.2,0.18,0.11,0.35,0.31,0.32,0.26,0.32,0.56,0.51,0.34,0.52,0.31,0.48,0.46,0.44,0.47,0.46,0.59,0.67,0.59,0.59,0.61,0.59,0.05,0.23,0.02,0.59,0.56,0.55,0.69,0.1,0.08,0.07,0.09,0.93,0.09,0.19,0.16,0.37,0.48,0.27,0.52,0.1,0.57,0,0.07,0.89,0.47,0.05,0.36,0.48,0.16,0.18,0.1,0.09,0.08,0.23,0.23,0.24,0.21,0.42,0.41,0.44,0.09,0,0.07,0.85,0.53,0.74,0.79,0.1,0.1,0.88,0.96,0,0,0,0,0.04,0.55,0.13,0.18,0.12,0.01,0.02,0.36,1,0.1
"192",192,"1",NA,"Prattvillecity",0.02,0.55,0.27,0.78,0.04,0.01,0.5,0.48,0.3,0.28,0.03,1,0.34,0.65,0.26,0.41,0.41,0.26,0.67,0.34,0.25,0.27,0.18,0.49,0.18,0.32,0.33,0.02,0.29,0.29,0.43,0.29,0.31,0.58,0.38,0.28,0.39,0.35,0.36,0.28,0.42,0.41,0.55,0.71,0.67,0.82,0.53,0.56,0.66,0.01,0.18,0,0.09,0.11,0.09,0.07,0.01,0.01,0.01,0.01,0.98,0.01,0.24,0.26,0.6,0.55,0.68,0.72,0.12,0.18,0.5,0.02,0.82,0.75,0.17,0.52,0.67,0.29,0.53,0.12,0.11,0.11,0.11,0.21,0.27,0.27,0.33,0.2,0.32,0,0,0.04,0.65,0.53,0.49,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.09,0.01,NA,NA,NA,NA,NA
"193",193,"42","91","Montgomerytownship",0,0.44,0.03,0.9,0.31,0.01,0.21,0.33,0.14,0.42,0.02,0.8,0.67,0.75,0.62,0.79,0.45,0.05,0.58,0.64,0.56,0.55,0.68,0.48,0.32,0,1,0,0.01,0.12,0.19,0.58,0.12,0.72,0.67,0.35,0.23,0.64,0.25,0.21,0.24,0.25,0.42,0.94,0.94,0.92,0.83,0.53,0.52,0,0.02,0.01,0.11,0.14,0.23,0.3,0.05,0.06,0.09,0.1,0.87,0.1,0.11,0.13,0.48,0.46,0.46,0.93,0.03,0.27,0.5,0.01,0.81,0.93,0.06,0.35,0.94,0.01,0.24,0.42,0.44,0.43,0.7,0.67,0.8,0.81,0.37,0.65,0.14,0,0,0.2,0.77,0.37,0.45,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.09,0.15,NA,NA,NA,NA,NA
"194",194,"6",NA,"Bellflowercity",0.08,0.46,0.12,0.54,0.62,0.44,0.36,0.54,0.34,0.34,0.1,1,0.35,0.63,0.08,0.32,0.36,0.44,0.36,0.34,0.31,0.34,0.33,0.23,0.29,0.29,0.34,0.05,0.24,0.3,0.48,0.18,0.35,0.56,0.54,0.26,0.51,0.28,0.76,0.47,0.78,0.8,0.55,0.47,0.49,0.57,0.5,0.45,0.47,0.05,0.42,0.08,0.51,0.59,0.6,0.64,0.68,0.69,0.64,0.63,0.51,0.42,0.4,0.35,0.5,0.49,0.53,0.21,0.65,0.81,0,0.06,0.81,0.24,0.12,0.16,0.46,0.21,0.41,0.52,0.51,0.49,0.57,0.56,0.63,0.54,0.56,0.69,0.08,0,0,0.56,0.48,0.36,0.74,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.85,0.14,NA,NA,NA,NA,NA
"195",195,"9","15","Plainfieldtown",0.01,0.55,0.01,0.98,0.03,0.03,0.47,0.55,0.33,0.31,0,0,0.38,0.64,0.32,0.48,0.47,0.29,0.49,0.36,0.27,0.25,0.43,0.3,0.03,0.14,0.26,0.01,0.17,0.43,0.54,0.1,0.51,0.56,0.76,0.27,0.72,0.2,0.42,0.39,0.42,0.43,0.56,0.66,0.67,0.49,0.6,0.33,0.48,0,0.15,0,0.13,0.12,0.14,0.16,0.03,0.02,0.03,0.03,0.88,0.04,0.25,0.26,0.59,0.65,0.45,0.65,0.1,0.38,0.5,0.02,0.75,0.62,0.2,0.72,0.46,0.14,0.12,0.3,0.27,0.25,0.33,0.37,0.4,0.4,0.4,0.66,0.46,0,0,0.09,0.68,0.66,0.71,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.03,0.03,NA,NA,NA,NA,NA
